image_file,mask_file,shape,cloud_coverage,mean_red,mean_green,mean_blue,mean_ir,std_red,std_green,std_blue,std_ir,corr_red_ir,corr_green_ir,corr_blue_ir
100096.tif,100096.tif,"(512, 512, 4)",0.0,578.25,923.03,1311.22,2533.09,203.22,281.99,509.97,607.18,0.3489,0.4571,0.4189
100177.tif,100177.tif,"(512, 512, 4)",0.0604,424.16,694.61,717.56,2333.03,442.33,421.96,451.12,741.09,0.2161,0.2872,0.2069
100193.tif,100193.tif,"(512, 512, 4)",0.2607,697.13,1038.37,822.77,3316.62,793.98,726.85,717.64,831.62,0.5862,0.6469,0.5421
100205.tif,100205.tif,"(512, 512, 4)",0.0135,262.73,391.51,230.86,2738.7,35.44,60.54,58.94,452.25,0.246,0.6073,0.0929
100301.tif,100301.tif,"(512, 512, 4)",0.6712,5692.99,5572.95,5704.8,6160.35,4534.52,4140.15,3695.47,3340.03,0.9916,0.9925,0.9893
100425.tif,100425.tif,"(512, 512, 4)",0.6238,2022.32,1992.27,1820.29,3217.26,2257.79,2180.25,2196.66,1812.22,0.9101,0.919,0.9123
100708.tif,100708.tif,"(512, 512, 4)",0.3231,849.26,965.21,789.84,3112.42,1080.56,1049.59,1098.63,961.08,0.6874,0.724,0.6869
100716.tif,100716.tif,"(512, 512, 4)",0.0,287.0,431.34,311.38,1926.97,60.42,79.98,93.74,335.85,0.0521,0.3574,0.0756
100754.tif,100754.tif,"(512, 512, 4)",0.0138,387.39,361.68,282.83,229.61,57.79,56.91,58.64,57.6,0.9603,0.9642,0.9687
100884.tif,100884.tif,"(512, 512, 4)",0.5243,944.11,1091.45,957.75,2967.49,1121.19,1080.95,1057.07,1762.48,0.581,0.6675,0.6089
100909.tif,100909.tif,"(512, 512, 4)",1.0,6495.75,5884.28,5329.01,5820.81,777.22,702.09,660.52,535.87,0.9717,0.981,0.9749
101139.tif,101139.tif,"(512, 512, 4)",1.0,2471.0,2372.84,2113.01,3176.66,1227.14,1150.67,1126.26,1027.35,0.9541,0.9533,0.9004
101206.tif,101206.tif,"(512, 512, 4)",0.9644,2429.24,2345.82,2202.51,2930.77,854.45,805.09,760.05,819.96,0.9719,0.9752,0.9463
101258.tif,101258.tif,"(512, 512, 4)",0.0611,332.38,484.04,331.55,2211.64,538.31,514.71,512.39,525.72,0.7425,0.7874,0.7537
101343.tif,101343.tif,"(512, 512, 4)",0.9884,7384.09,6715.63,6102.51,6316.69,4428.0,3904.78,3623.95,2849.17,0.9862,0.99,0.9834
101429.tif,101429.tif,"(512, 512, 4)",0.7193,2801.31,2751.2,2552.82,3598.89,2937.11,2782.95,2736.46,2091.72,0.953,0.9577,0.9495
101640.tif,101640.tif,"(512, 512, 4)",0.5904,1420.96,1623.09,1575.32,2850.75,1494.2,1374.84,1331.18,1272.73,0.9198,0.9385,0.9169
101657.tif,101657.tif,"(512, 512, 4)",0.0,579.01,739.6,961.58,1379.92,227.38,276.74,332.7,423.69,0.6665,0.7583,0.8427
101773.tif,101773.tif,"(512, 512, 4)",0.0,724.53,802.99,839.63,1435.0,48.16,78.52,100.06,329.63,0.7234,0.8879,0.7155
101885.tif,101885.tif,"(512, 512, 4)",1.0,1132.66,1181.06,1092.54,1975.45,285.96,326.57,405.93,523.77,0.7215,0.7746,0.7097
102260.tif,102260.tif,"(512, 512, 4)",0.7187,4056.72,3905.93,3542.25,5378.01,3715.78,3293.72,3171.14,1979.65,0.8942,0.9043,0.8892
102303.tif,102303.tif,"(512, 512, 4)",0.0662,641.33,943.97,853.17,3157.1,325.47,310.86,350.52,578.03,0.2383,0.3683,0.0547
102565.tif,102565.tif,"(512, 512, 4)",1.0,2317.53,2155.87,1954.96,1861.13,455.74,419.71,382.32,378.83,0.9957,0.9962,0.9895
102593.tif,102593.tif,"(512, 512, 4)",0.0313,577.19,766.21,685.63,3032.65,279.86,311.94,489.04,587.07,-0.1473,-0.1435,-0.3048
102689.tif,102689.tif,"(512, 512, 4)",1.0,5479.74,5073.04,4875.02,4936.23,3472.45,3279.84,3161.32,3183.8,0.9992,0.9994,0.998
102693.tif,102693.tif,"(512, 512, 4)",0.1752,892.19,1019.92,813.42,713.85,458.18,445.13,438.83,605.63,0.6066,0.6527,0.702
102805.tif,102805.tif,"(512, 512, 4)",0.4297,1081.22,1110.96,810.42,608.68,1070.94,1011.59,1032.92,1000.3,0.9979,0.995,0.9964
102871.tif,102871.tif,"(512, 512, 4)",0.7067,1914.81,1765.21,1692.94,1642.8,2240.61,2182.1,2148.47,2100.63,0.9993,0.9995,0.9994
102973.tif,102973.tif,"(512, 512, 4)",1.0,5858.06,5404.28,5015.97,5663.26,1475.75,1330.16,1231.78,984.92,0.9893,0.9951,0.977
103161.tif,103161.tif,"(512, 512, 4)",0.999,6359.23,5821.92,5358.1,5236.08,546.81,506.68,476.18,470.0,0.9961,0.9966,0.9913
103225.tif,103225.tif,"(512, 512, 4)",1.0,7268.76,6796.2,6396.06,5972.38,723.46,691.11,674.91,645.58,0.9934,0.9943,0.9909
103402.tif,103402.tif,"(512, 512, 4)",1.0,2548.6,2510.77,2313.84,3743.47,1346.89,1236.75,1211.64,913.08,0.9844,0.9853,0.9712
103468.tif,103468.tif,"(512, 512, 4)",1.0,4749.65,4469.72,4442.96,4435.42,2188.91,1972.93,1749.61,1653.14,0.9967,0.9962,0.9899
103642.tif,103642.tif,"(512, 512, 4)",0.503,1788.73,1935.52,1715.29,3548.06,2221.0,2069.84,2053.75,1566.39,0.8938,0.9115,0.8986
103704.tif,103704.tif,"(512, 512, 4)",1.0,8633.8,8153.87,7719.15,7601.08,2663.89,2534.44,2484.09,1913.2,0.9796,0.9856,0.9853
103717.tif,103717.tif,"(512, 512, 4)",0.0,420.36,605.82,818.9,1715.87,164.07,221.92,357.52,345.89,0.2866,0.3524,0.2628
103883.tif,103883.tif,"(512, 512, 4)",0.9998,1455.89,1299.71,1153.83,1046.74,1187.22,1147.64,1129.84,1067.58,0.9986,0.9992,0.9979
104000.tif,104000.tif,"(512, 512, 4)",1.0,6162.68,5801.1,5463.23,6080.3,2919.26,2696.52,2585.3,2189.02,0.995,0.9962,0.9885
104309.tif,104309.tif,"(512, 512, 4)",0.8714,3083.2,3114.72,2891.97,4465.32,3114.01,2938.07,2932.8,2178.37,0.9559,0.9628,0.9576
104324.tif,104324.tif,"(512, 512, 4)",1.0,3184.87,3043.18,2888.22,3579.6,1279.22,1177.82,1103.62,945.48,0.9877,0.9876,0.9631
104326.tif,104326.tif,"(512, 512, 4)",1.0,10345.18,9666.98,9171.63,8966.32,1713.45,1653.3,1610.71,1572.69,0.9912,0.9963,0.9959
104539.tif,104539.tif,"(512, 512, 4)",1.0,1777.83,1799.52,1631.91,3017.24,645.26,589.89,561.51,526.22,0.9159,0.9177,0.7668
104548.tif,104548.tif,"(512, 512, 4)",0.9818,4388.37,4198.85,4351.77,4668.13,2666.31,2446.98,2228.9,2142.61,0.9925,0.9935,0.9931
104666.tif,104666.tif,"(512, 512, 4)",0.1798,760.91,774.19,689.95,717.75,134.16,139.75,139.77,399.58,0.2733,0.5215,0.4283
104792.tif,104792.tif,"(512, 512, 4)",0.9863,6665.93,6331.77,5979.84,6251.02,2969.58,2796.27,2722.86,2164.25,0.9839,0.9879,0.985
104877.tif,104877.tif,"(512, 512, 4)",0.0867,1261.84,1894.28,2700.14,3098.21,424.92,409.26,431.82,461.1,0.8134,0.913,0.9755
104895.tif,104895.tif,"(512, 512, 4)",0.9631,3412.1,3250.25,3324.31,3640.0,2254.43,2067.05,1911.69,1825.12,0.9894,0.9908,0.9901
104942.tif,104942.tif,"(512, 512, 4)",1.0,2013.84,2035.06,2042.98,2498.05,1189.41,1127.01,1118.81,1205.37,0.9435,0.9444,0.9305
105066.tif,105066.tif,"(512, 512, 4)",0.9445,1876.58,1921.04,1945.96,2395.14,1063.45,1155.79,1329.06,1446.79,0.9561,0.9649,0.9623
105274.tif,105274.tif,"(512, 512, 4)",1.0,1982.6,2057.38,1901.1,3803.49,1761.89,1670.28,1662.82,1656.07,0.8652,0.8913,0.8694
105433.tif,105433.tif,"(512, 512, 4)",0.9964,1827.42,1944.3,1823.1,3369.35,730.26,678.03,721.96,661.74,0.6378,0.6428,0.5321
105447.tif,105447.tif,"(512, 512, 4)",0.9822,7373.76,7035.88,6857.62,7016.72,3529.36,3371.25,3265.32,3137.35,0.9935,0.9964,0.9947
105506.tif,105506.tif,"(512, 512, 4)",0.0489,654.29,799.08,725.19,3078.09,482.62,488.24,636.33,652.65,0.1736,0.1649,-0.0582
105547.tif,105547.tif,"(512, 512, 4)",1.0,3140.38,2937.53,2762.9,2588.37,668.12,641.81,634.3,641.97,0.9886,0.9943,0.9869
105621.tif,105621.tif,"(512, 512, 4)",0.3136,756.74,977.5,784.5,3198.32,987.86,921.17,947.86,1005.52,0.5275,0.5752,0.4773
105735.tif,105735.tif,"(512, 512, 4)",0.173,685.8,839.67,816.52,2194.23,1182.45,1124.79,1109.02,1020.46,0.8799,0.9022,0.891
105814.tif,105814.tif,"(512, 512, 4)",1.0,4379.29,4157.86,3893.86,4790.22,1921.19,1770.35,1703.48,1428.65,0.9949,0.9952,0.9832
105919.tif,105919.tif,"(512, 512, 4)",0.9859,9071.29,8698.06,8383.2,7819.89,1998.23,1870.14,1765.03,1575.43,0.9968,0.9983,0.9992
106029.tif,106029.tif,"(512, 512, 4)",0.6396,3779.61,3662.2,3613.03,4253.14,4074.79,3866.97,3709.66,3475.47,0.9846,0.9893,0.9886
106087.tif,106087.tif,"(512, 512, 4)",0.0046,459.64,649.1,469.59,2879.51,164.6,233.34,347.84,975.06,-0.621,-0.5025,-0.6788
106131.tif,106131.tif,"(512, 512, 4)",0.0,575.73,1051.6,853.47,3412.02,162.11,182.98,277.13,455.99,-0.332,-0.113,-0.3942
106182.tif,106182.tif,"(512, 512, 4)",1.0,1994.68,2932.06,4136.92,5126.32,363.43,451.62,596.93,763.81,0.8868,0.959,0.9865
106185.tif,106185.tif,"(512, 512, 4)",0.242,988.57,1093.76,908.92,2656.14,1412.85,1358.0,1375.66,1514.39,0.6673,0.7138,0.6769
106658.tif,106658.tif,"(512, 512, 4)",1.0,8386.49,7831.82,7424.39,6917.16,796.91,758.89,731.2,697.34,0.9941,0.9976,0.9928
106687.tif,106687.tif,"(512, 512, 4)",0.4825,1759.52,1749.45,1562.3,3382.54,2211.54,2099.22,2095.69,1653.06,0.8322,0.8427,0.8246
106693.tif,106693.tif,"(512, 512, 4)",0.0153,617.35,859.3,859.76,2497.06,360.08,381.75,439.6,682.94,0.5579,0.6612,0.5656
106814.tif,106814.tif,"(512, 512, 4)",0.1664,639.44,584.31,535.82,487.66,235.53,232.57,235.54,224.63,0.9861,0.9858,0.9527
106887.tif,106887.tif,"(512, 512, 4)",1.0,4236.09,3940.61,3811.02,3800.39,1545.49,1469.28,1436.1,1434.41,0.9984,0.9993,0.9988
106892.tif,106892.tif,"(512, 512, 4)",0.0,617.09,712.64,451.0,182.29,155.08,211.92,133.5,75.26,0.2687,0.2001,0.5126
106918.tif,106918.tif,"(512, 512, 4)",0.262,975.27,1165.38,1014.43,3299.73,1536.65,1446.35,1411.71,1367.98,0.812,0.8367,0.8128
106933.tif,106933.tif,"(512, 512, 4)",0.9661,5676.0,5491.42,5397.73,5666.63,3554.03,3415.9,3315.49,3264.29,0.9941,0.9969,0.9951
106945.tif,106945.tif,"(512, 512, 4)",1.0,5359.75,5063.12,4756.24,5512.72,3233.32,2993.7,2873.78,2428.96,0.9958,0.9968,0.9909
107096.tif,107096.tif,"(512, 512, 4)",0.7515,2402.59,2378.55,2158.36,4206.02,2151.28,2069.61,2115.65,1517.11,0.8257,0.8437,0.8294
107161.tif,107161.tif,"(512, 512, 4)",0.0,913.42,1136.04,1374.67,1528.96,204.76,236.88,257.4,255.71,0.7599,0.8559,0.9414
107459.tif,107459.tif,"(512, 512, 4)",0.783,4364.31,4250.44,3971.97,4951.15,3775.27,3418.42,3233.87,2494.73,0.9532,0.9605,0.953
107540.tif,107540.tif,"(512, 512, 4)",0.9998,3023.64,2998.24,2883.42,4009.65,1607.4,1483.57,1440.04,1320.57,0.9757,0.9852,0.9624
107543.tif,107543.tif,"(512, 512, 4)",0.0,217.47,358.52,211.85,2049.25,27.26,49.9,37.88,223.89,0.4145,0.6597,0.3504
